AnswerID,Text_KR,Text_EN,NextTextID,AnswerReward,Font_Direction,Ending_Memoriar,Counting_for_RealEnding3
100001,‘조금 두려운데..’,,10002,,2000009,FALSE,FALSE
100002,‘드디어 내게도 기회가..’,,10003,,2000009,FALSE,FALSE
100003,옷 매무새를 다듬는다.,,10004,,,FALSE,FALSE
100004,목소리를 가다듬는다.,,10004,,,FALSE,FALSE
100005,저기..,,10005,,,FALSE,FALSE
100006,크흠.,,10005,,,FALSE,FALSE
100007,“그래 잘 부탁한다.”,,10006,,,FALSE,FALSE
100008,“너무 굳어 있지 말게”,,10006,,,FALSE,FALSE
100009,“날 찾아온 사람?”,,10007,,,FALSE,FALSE
100010,‘누구지?’,,10007,,,FALSE,FALSE
100011,“누구시죠?”,,10008,,,FALSE,FALSE
100012,“제가 아는 분 이신가요?”,,10008,,,FALSE,FALSE
100013,“아..네”,,10009,,,FALSE,FALSE
100014,“잘 부탁드립니다..”,,10009,,,FALSE,FALSE
100015,“병과학전략화사령부 말씀이시죠?”,,10010,,,FALSE,FALSE
100016,“과학 전략.. 사령부 였나…”,,10010,,,FALSE,FALSE
100017,“그게 무슨 말씀 이신지..?”,,10011,,,FALSE,FALSE
100018,“알겠으니까 손 좀 놓아 주시죠.”,,10011,,,FALSE,FALSE
100019,슈뢰딩거 박사를 바라본다.,,10012,,2000009,FALSE,FALSE
100020,손끝을 바라본다.,,10013,,2000009,FALSE,FALSE
100021,‘이상한 사람이다.’,,,,,FALSE,FALSE
100022,‘일이나 해야겠다.’,,,,,FALSE,FALSE
100023,“홍차로 부탁하지.”,,10015,,2000009,FALSE,FALSE
100024,“커피로 부탁하지”,,10016,,2000009,FALSE,FALSE
100025,“이거 좋은 차군”,,10017,,,FALSE,FALSE
100026,“다과랑도 잘 어울리는 군”,,10017,,,FALSE,FALSE
100027,‘이건 뭐…흙물인가…’,,10017,,,FALSE,FALSE
100028,‘그냥 다과만 먹어야 겠군…’,,10017,,,FALSE,FALSE
100029,피에르 소위에 대해 묻는다.,,10018,,2000009,TRUE,FALSE
