ID,EndingTitle,PlayThrough,EndingString,Karma_Rate,EndingCutScene_ID,BG_ID,SFX_ID,Text_Kr,Text_En,Direction,Fade_Out_Color
50001,3001,1,1001,2001,400000001,100000004,,전쟁을 승리로 이끈 나는 전쟁 영웅이 되었고 작위를 수여 받기위해 폐하를 알현 하러 간다.,,Fade_In,
50002,3001,1,1001,2001,400000001,100000004,,갑자기 멈춘 마차. 그리고 마차위로 두건을 쓴 의문의 사람이 올라탄다.,,,
50003,3001,1,1001,2001,400000002,100000004,,“지휘관. 아직 실험이 끝나지 않았어.”,,Fade_In,
50004,3001,1,1001,2001,400000002,100000004,,두건을 벗자 나를 보며 비릿한 웃음을 짓는 슈뢰딩거 박사가 보인다.,,,
50005,3001,1,1001,2001,400000002,100000004,,그를 잡기위해 뻗은 손이 무색하게 점점 아래로 내려간다.,,,
50006,3001,1,1001,2001,400000002,100000004,1000000014,점점.. 내 눈이 감긴다.,,Fade_Out,Black
50007,3002,1,1001,2002,400000003,100000004,,위험한 전쟁 속 나는 내 가치를 증명 해 냈다.,,Fade_In,
50008,3002,1,1001,2002,400000003,100000004,,전쟁영웅이란 명칭과 함께 나에게 수여될 작위를 받기위해 폐하를 알현하러 간다.,,,
50009,3002,1,1001,2002,400000003,100000004,,그전에 잠시 커피나 한잔 할 겸 난 마차에서 내린다.,,,
50010,3002,1,1001,2002,400000004,100000004,,“지휘관. 자네 방식은 아직 부족해.”,,Fade_In,
50011,3002,1,1001,2002,400000004,100000004,,뒤를 돌자 마차 위에 앉아 있는 슈뢰딩거 박사가 날 내려다 보고 있다.,,,
50012,3002,1,1001,2002,400000004,100000004,1000000014,점점 눈이 감기며.. 몸이 중심을 잃고 무너진다.,,Fade_Out,Black
50013,3003,1,1001,2003,400000005,100000004,,역사는 승자의 손으로 쓰여진다.,,Fade_In,
50014,3003,1,1001,2003,400000005,100000004,,내 손에 묻은 이 수많은 이의 피는 붉은 잉크가 되어 프란츠 제국의 위대함을 알리리.,,,
50015,3003,1,1001,2003,400000005,100000004,,방식은 상관 없다. 난 승자다.,,,
50016,3003,1,1001,2003,400000006,100000004,,"“지휘관. 자네는 선을 넘었고, 다시 한번 기회를 주지.”",,Fade_In,
50017,3003,1,1001,2003,400000006,100000004,,밤 커튼이 달빛에 흩날릴 때 그 사이로 차가운 표정의 슈뢰딩거 박사가 보인다.,,,
50018,3003,1,1001,2003,400000006,100000004,1000000014,그를 잡기 위해 띄운 내 다리는 곧 지면에 추락해 무너지며 눈이 감긴다.,,Fade_Out,Black
